feature,importance
GCS_last,0.09251931316426906
GCS_mean,0.027921691371052947
GCS_max,0.026326523785129948
Urine_mean,0.021045377323460297
BUN_last,0.019799634667541928
BUN_min,0.01583389244850124
HCO3_mean,0.01545194964127979
BUN_mean,0.014874359023081712
Platelets_std,0.01145395296678613
WBC_last,0.01056197606075757
Temp_max,0.009670111897723108
Glucose_last,0.009537861697862594
Temp_mean,0.009404944744022568
PaCO2_mean,0.009129837307873008
FiO2_mean,0.008918028554665176
Lactate_last,0.008903271365026106
pH_mean,0.008872195028161561
Temp_last,0.008178536903274424
Glucose_mean,0.008052794477324482
SysABP_mean,0.007936142831627883
WBC_min,0.0078051661313347665
Glucose_std,0.007660222448324319
Lactate_min,0.007656914391006622
SysABP_last,0.007347480193925211
HR_last,0.007056768880549049
HR_first,0.006899383467035608
Glucose_max,0.006899250207741035
GCS_n_mediciones,0.006664008756061485
Urine_last,0.006477614103349246
HR_mean,0.0064772096979304195
Urine_max,0.00621148363937958
Bilirubin_min,0.006127208840529454
BUN_max,0.0059873959530362475
NISysABP_last,0.005890427494466448
Urine_std,0.0056842568067902634
HR_min,0.005513585589663103
HR_max,0.005492195232281227
NIMAP_last,0.005389379156534389
PaO2_mean,0.005236299230582874
Bilirubin_last,0.005160869190876393
HR_std,0.005138684314645608
HCT_std,0.005135750610581361
Na_mean,0.00508536472233494
Urine_n_mediciones,0.004983912808264523
SysABP_max,0.0049217718887037435
Creatinine_std,0.004917479889837275
Temp_std,0.004911970087825196
Bilirubin_mean,0.004893695834240909
NIMAP_mean,0.004747252680157065
Glucose_first,0.004723843874982119
PaCO2_max,0.004705859268667978
HCO3_min,0.0046994641168730126
pH_last,0.00467487973783854
PaO2_first,0.004667752856111805
BUN_first,0.004615536648936036
Temp_first,0.004560593673270167
HCO3_std,0.004526324091995821
WBC_mean,0.0044767266779604095
Age_max,0.004470772249308065
SysABP_first,0.0044633549548763205
HCT_max,0.004452069661182608
WBC_std,0.004426081057910633
Platelets_min,0.004363602349848889
HCT_last,0.004146705196583458
Glucose_min,0.0041355903188754805
Age_last,0.004120722072338622
NISysABP_min,0.004106678879582241
Age_mean,0.004078203415942789
Platelets_mean,0.004040021470333184
PaO2_min,0.00402711755823546
NISysABP_mean,0.004010041085936017
Platelets_first,0.003995704465079798
PaO2_last,0.0038757872842832253
WBC_max,0.003866487239969918
Mg_mean,0.003857962411261071
GCS_std,0.003771750969915674
Age_first,0.0037651337928987618
WBC_first,0.0037528089669997384
DiasABP_first,0.0037264027306557106
Albumin_max,0.003723969280134524
PaCO2_last,0.00370801174408143
K_std,0.0036366059220002012
FiO2_last,0.0036046280655711383
Na_std,0.0035992970143445134
NIDiasABP_mean,0.003588353415659823
pH_min,0.0035660735567510948
HCT_mean,0.0035582641567642446
Mg_std,0.003536307064452721
pH_max,0.003523065145401379
Platelets_last,0.0034943812782143356
Platelets_max,0.0034725916716706407
Age_min,0.003461819586169074
Weight_last,0.0034504301618205613
NIDiasABP_std,0.0034436175956719223
Albumin_mean,0.003437813058989759
SysABP_min,0.00343442748670204
MAP_first,0.003413236142450092
PaCO2_std,0.0034065119993872597
HCT_first,0.0033928155756637567
